athis      ;root           ; [jbd2/dm-6-8]                                                         
athis      ;root           ; [jbd2/sda1-8]                                                         
athis      ;root           ; [kacpid]                                                              
athis      ;root           ; [kacpi_hotplug]                                                       
athis      ;root           ; [kacpi_notify]                                                        
athis      ;root           ; [kauditd]                                                             
athis      ;root           ; [kblockd/0]                                                           
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [kdmflush]                                                            
athis      ;root           ; [khelper]                                                             
athis      ;root           ; [khubd]                                                               
athis      ;root           ; [khungtaskd]                                                          
athis      ;root           ; [kintegrityd/0]                                                       
athis      ;root           ; [kpsmoused]                                                           
athis      ;root           ; [kseriod]                                                             
athis      ;root           ; [ksmd]                                                                
athis      ;root           ; [ksoftirqd/0]                                                         
athis      ;root           ; [kstriped]                                                            
athis      ;root           ; [ksuspend_usbd]                                                       
athis      ;root           ; [kswapd0]                                                             
athis      ;root           ; [kthreadd]                                                            
athis      ;root           ; [kthrotld/0]                                                          
athis      ;root           ; login -- alozahic                                                     
athis      ;root           ; [md/0]                                                                
athis      ;root           ; [md_misc/0]                                                           
athis      ;root           ; [migration/0]                                                         
athis      ;root           ; [migration/0]                                                         
athis      ;root           ; [mpt/0]                                                               
athis      ;root           ; [mpt_poll_0]                                                          
athis      ;root           ; [netns]                                                               
athis      ;root           ; NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid   
athis      ;root           ; [pciehpd]                                                             
athis      ;root           ; [pm]                                                                  
athis      ;root           ; rpc.idmapd                                                            
athis      ;root           ; [rpciod/0]                                                            
athis      ;root           ; /sbin/init                                                            
athis      ;root           ; /sbin/mingetty /dev/tty2                                              
athis      ;root           ; /sbin/rsyslogd -i /var/run/syslogd.pid -c 5                           
athis      ;root           ; /sbin/udevd -d                                                        
athis      ;root           ; /sbin/udevd -d                                                        
athis      ;root           ; /sbin/udevd -d                                                        
athis      ;root           ; [scsi_eh_0]                                                           
athis      ;root           ; [scsi_eh_1]                                                           
athis      ;root           ; [scsi_eh_2]                                                           
athis      ;root           ; sshd: alozahic [priv]                                                 
athis      ;root           ; sshd: alozahic [priv]                                                 
athis      ;root           ; su -                                                                  
athis      ;root           ; [sync_supers]                                                         
athis      ;root           ; [usbhid_resumer]                                                      
athis      ;root           ; /usr/libexec/postfix/master                                           
athis      ;root           ; /usr/sbin/abrtd                                                       
athis      ;root           ; /usr/sbin/acpid                                                       
athis      ;root           ; /usr/sbin/atd                                                         
athis      ;root           ; /usr/sbin/certmonger -S -p /var/run/certmonger.pid                    
