----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------

#### DEBUT JOB  20170621-000910 ####

Report of the autosys jobs le 20170621 a 000910

###################################################################

There are 625 jobs in error

Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
mi73Lsa1_messag_action;1;2017/06/20 20:15:31;2017/06/20 20:15:33;parva4022576;FAILURE; ;2;785314/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:15:43;2017/06/20 20:15:43;parva4022576;FAILURE; ;0;785316/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:21:34;2017/06/20 20:21:36;parva4022576;FAILURE; ;2;785337/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:21:41;2017/06/20 20:21:42;parva4022576;FAILURE; ;1;785339/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:26:20;2017/06/20 20:26:23;parva4022576;FAILURE; ;3;785347/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:26:23;2017/06/20 20:26:23;parva4022576;FAILURE; ;0;785348/1;17-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:31:39;2017/06/20 20:31:39;parva4022576;FAILURE; ;0;785370/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:31:46;2017/06/20 20:31:48;parva4022576;FAILURE; ;2;785372/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:36:19;2017/06/20 20:36:19;parva4022576;FAILURE; ;0;785377/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:36:26;2017/06/20 20:36:28;parva4022576;FAILURE; ;2;785379/1;16-JUN-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:41:08;2017/06/20 20:41:08;parva4022576;FAILURE; ;0;785400/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:41:47;2017/06/20 20:41:50;parva4022576;FAILURE; ;3;785402/1;16-JUN-17; ;
cpp1Luf1_xtbase_01;31;2017/06/20 20:41:54;2017/06/20 20:42:10;parva4022576;FAILURE; ;16;785341/1;20-JUN-17;20-JUN-17;
trj0Eau1;1;2017/06/20 20:45:49;2017/06/20 20:45:49;parva4022576;FAILURE; ;0;785406/1;03-AUG-16;04-FEB-17;
tzv7Nau2;1;2017/06/20 20:45:54;2017/06/20 20:45:54;parva4022576;FAILURE; ;0;785405/1;27-MAY-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:46:38;2017/06/20 20:46:38;parva4022576;FAILURE; ;0;785409/1;17-JUN-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:46:50;2017/06/20 20:46:52;parva4022576;FAILURE; ;2;785411/1;16-JUN-17; ;
cpp1Luf1_xtbase_01;31;2017/06/20 20:47:18;2017/06/20 20:47:26;parva4022576;FAILURE; ;8;785341/2;20-JUN-17;20-JUN-17;
cpp1Luf1_xtbase_01;31;2017/06/20 20:49:13;2017/06/20 20:49:21;parva4022576;FAILURE; ;8;785341/3;20-JUN-17;20-JUN-17;
hsr0-01Nau1_hsrt10-01_01;31;2017/06/20 20:50:28;2017/06/20 20:50:44;parva4022576;FAILURE; ;16;785447/1;17-MAR-17;15-APR-17;
z9v4Nau2;1;2017/06/20 20:50:31;2017/06/20 20:50:31;parva4022576;FAILURE; ;0;785414/1;27-MAY-17; ;
z9v1Nau2;1;2017/06/20 20:50:32;2017/06/20 20:51:23;parva4022576;FAILURE; ;51;785429/1;27-MAY-17; ;
z9v3Nau2;1;2017/06/20 20:50:32;2017/06/20 20:50:32;parva4022576;FAILURE; ;0;785422/1;27-MAY-17; ;
zq12Nau2;1;2017/06/20 20:50:32;2017/06/20 20:51:00;parva4022576;FAILURE; ;28;785426/1;27-MAY-17; ;
z9v5Nau2;1;2017/06/20 20:50:40;2017/06/20 20:50:40;parva4022576;FAILURE; ;0;785423/1;27-MAY-17; ;
zxv1Eau1;1;2017/06/20 20:50:40;2017/06/20 20:51:04;parva4022576;FAILURE; ;24;785427/1;03-AUG-16;04-FEB-17;
tzv7Nau2;1;2017/06/20 20:50:48;2017/06/20 20:50:48;parva4022576;FAILURE; ;0;785430/1;27-MAY-17; ;
rcv5Eau1;1;2017/06/20 20:50:50;2017/06/20 20:51:13;parva4022576;FAILURE; ;23;785433/1;03-AUG-16;04-FEB-17;
trj0Eau1;1;2017/06/20 20:50:50;2017/06/20 20:50:50;parva4022576;FAILURE; ;0;785428/1;03-AUG-16;04-FEB-17;
zqv3Nau2;1;2017/06/20 20:50:50;2017/06/20 20:50:50;parva4022576;FAILURE; ;0;785421/1;27-MAY-17; ;
mi73Lsa5_messag_action;127;2017/06/20 20:51:05;2017/06/20 20:51:05;parva4022576;FAILURE; ;0;785449/1;17-JUN-17; ;
z9v2Nau2;1;2017/06/20 20:51:05;2017/06/20 20:51:43;parva4022576;FAILURE; ;38;785431/1;27-MAY-17; ;
zhv1Nau2;1;2017/06/20 20:51:05;2017/06/20 20:52:09;parva4022576;FAILURE; ;64;785418/1;27-MAY-17; ;
zq22Nau2;1;2017/06/20 20:51:05;2017/06/20 20:51:05;parva4022576;FAILURE; ;0;785419/1;27-MAY-17; ;
zqv1Nau2;1;2017/06/20 20:51:05;2017/06/20 20:52:43;parva4022576;FAILURE; ;98;785417/1;27-MAY-17; ;
mi73Lsa1_messag_action;1;2017/06/20 20:51:13;2017/06/20 20:51:16;parva4022576;FAILURE; ;3;785451/1;16-JUN-17; ;
zqv1Nau2;1;2017/06/20 20:55:24;2017/06/20 20:55:24;parva4022576;FAILURE; ;0;785453/1;27-MAY-17; ;
zxv1Eau1;1;2017/06/20 20:55:27;2017/06/20 20:55:27;parva4022576;FAILURE; ;0;785466/1;03-AUG-16;04-FEB-17;
z9v5Nau2;1;2017/06/20 20:55:28;2017/06/20 20:55:28;parva4022576;FAILURE; ;0;785468/1;27-MAY-17; ;
zq22Nau2;1;2017/06/20 20:55:31;2017/06/20 20:55:31;parva4022576;FAILURE; ;0;785467/1;27-MAY-17; ;
z9v3Nau2;1;2017/06/20 20:55:32;2017/06/20 20:55:32;parva4022576;FAILURE; ;0;785462/1;27-MAY-17; ;
z9v2Nau2;1;2017/06/20 20:55:35;2017/06/20 20:55:35;parva4022576;FAILURE; ;0;785456/1;27-MAY-17; ;
rcv5Eau1;1;2017/06/20 20:55:47;2017/06/20 20:56:09;parva4022576;FAILURE; ;22;785457/1;03-AUG-16;04-FEB-17;
z9v4Nau2;1;2017/06/20 20:55:47;2017/06/20 20:55:47;parva4022576;FAILURE; ;0;785465/1;27-MAY-17; ;
