Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:05:02;2017/05/14 16:05:02;s00vl9957605;SUCCESS; ;0;415881/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:07:00;2017/05/14 16:07:02; ;SUCCESS; ;2;415882/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:07:02;2017/05/14 16:07:02;s00vl9957622;SUCCESS; ;0;415882/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:10:00;2017/05/14 16:10:02; ;SUCCESS; ;2;415883/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:10:02;2017/05/14 16:10:02;s00vl9957605;SUCCESS; ;0;415883/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:12:00;2017/05/14 16:12:02; ;SUCCESS; ;2;415884/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:12:02;2017/05/14 16:12:02;s00vl9957622;SUCCESS; ;0;415884/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:15:00;2017/05/14 16:15:02; ;SUCCESS; ;2;415885/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:15:02;2017/05/14 16:15:02;s00vl9957605;SUCCESS; ;0;415885/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:17:00;2017/05/14 16:17:02; ;SUCCESS; ;2;415886/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:17:02;2017/05/14 16:17:02;s00vl9957622;SUCCESS; ;0;415886/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:20:00;2017/05/14 16:20:02; ;SUCCESS; ;2;415887/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:20:02;2017/05/14 16:20:02;s00vl9957605;SUCCESS; ;0;415887/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:22:00;2017/05/14 16:22:02; ;SUCCESS; ;2;415888/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:22:02;2017/05/14 16:22:02;s00vl9957622;SUCCESS; ;0;415888/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:25:00;2017/05/14 16:25:02; ;SUCCESS; ;2;415889/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:25:02;2017/05/14 16:25:02;s00vl9957605;SUCCESS; ;0;415889/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:27:00;2017/05/14 16:27:02; ;SUCCESS; ;2;415890/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:27:02;2017/05/14 16:27:02;s00vl9957622;SUCCESS; ;0;415890/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:30:00;2017/05/14 16:30:03; ;SUCCESS; ;3;415891/1;19-AUG-15;08-MAR-17;
IPRT00P01-Q1APP01-JI94MARO-JIPR07_0010;0;2017/05/14 16:30:01;2017/05/14 16:30:01;s00vl9941381;SUCCESS; ;0;415352/1;18-OCT-16;18-OCT-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:30:02;2017/05/14 16:30:02;s00vl9957605;SUCCESS; ;0;415891/1;19-AUG-15; ;
IDCI00P01-Q1EXT01-BNPITUNI-JASC_0001;0;2017/05/14 16:30:02;2017/05/14 16:30:02;s00vl9941381;SUCCESS; ;0;415446/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1EXT01-BNPITUNI-JCHQ_0001;0;2017/05/14 16:30:02;2017/05/14 16:30:02;s00vl9941381;SUCCESS; ;0;415446/1;18-OCT-16;18-OCT-16;
IPRT00P01-Q1APP01-JI94MARO-JIPR08_0010;0;2017/05/14 16:30:03;2017/05/14 16:30:03;s00vl9941381;SUCCESS; ;0;415352/1;18-OCT-16;18-OCT-16;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:32:00;2017/05/14 16:32:02; ;SUCCESS; ;2;415892/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:32:02;2017/05/14 16:32:02;s00vl9957622;SUCCESS; ;0;415892/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:35:00;2017/05/14 16:35:02; ;SUCCESS; ;2;415893/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:35:02;2017/05/14 16:35:02;s00vl9957605;SUCCESS; ;0;415893/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:37:00;2017/05/14 16:37:02; ;SUCCESS; ;2;415894/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:37:02;2017/05/14 16:37:02;s00vl9957622;SUCCESS; ;0;415894/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:40:00;2017/05/14 16:40:02; ;SUCCESS; ;2;415896/1;19-AUG-15;08-MAR-17;
IRTMP01-Q0BOXEXP-PPRCONF;1;2017/05/14 16:40:00;2017/05/14 16:40:04; ;FAILURE; ;4;415895/1;19-JAN-17; ;
IRTMP01-Q1EXP-PPRCONF;1;2017/05/14 16:40:01;2017/05/14 16:40:04;s00vl9931950;FAILURE; ;3;415895/1;19-JAN-17; ;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:40:02;2017/05/14 16:40:02;s00vl9957605;SUCCESS; ;0;415896/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:42:00;2017/05/14 16:42:02; ;SUCCESS; ;2;415897/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:42:02;2017/05/14 16:42:02;s00vl9957622;SUCCESS; ;0;415897/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:45:00;2017/05/14 16:45:03; ;SUCCESS; ;3;415898/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:45:02;2017/05/14 16:45:02;s00vl9957605;SUCCESS; ;0;415898/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:47:00;2017/05/14 16:47:02; ;SUCCESS; ;2;415899/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:47:02;2017/05/14 16:47:02;s00vl9957622;SUCCESS; ;0;415899/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:50:00;2017/05/14 16:50:02; ;SUCCESS; ;2;415901/1;19-AUG-15;08-MAR-17;
IRTMP01-Q0BOXEXP-PPRRES;1;2017/05/14 16:50:00;2017/05/14 16:50:04; ;FAILURE; ;4;415900/1;19-JAN-17; ;
IRTMP01-Q1EXP-PPRRES;1;2017/05/14 16:50:01;2017/05/14 16:50:04;s00vl9931950;FAILURE; ;3;415900/1;19-JAN-17; ;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:50:02;2017/05/14 16:50:02;s00vl9957605;SUCCESS; ;0;415901/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:52:00;2017/05/14 16:52:02; ;SUCCESS; ;2;415902/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:52:02;2017/05/14 16:52:02;s00vl9957622;SUCCESS; ;0;415902/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 16:55:00;2017/05/14 16:55:02; ;SUCCESS; ;2;415904/1;19-AUG-15;08-MAR-17;
IOPFP01-Q0BOX-ALGE_EXP_JEXPALE;1;2017/05/14 16:55:00;2017/05/14 16:56:37; ;FAILURE; ;97;415903/1;10-NOV-16; ;
IOPFP01-Q1APP01-ALGE_EXP_JEXPALE;1;2017/05/14 16:55:01;2017/05/14 16:56:37;s00va9944736;FAILURE; ;96;415903/1;10-NOV-16;11-NOV-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 16:55:02;2017/05/14 16:55:02;s00vl9957605;SUCCESS; ;0;415904/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 16:57:00;2017/05/14 16:57:02; ;SUCCESS; ;2;415905/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 16:57:02;2017/05/14 16:57:02;s00vl9957622;SUCCESS; ;0;415905/1;19-AUG-15; ;
BOX_AMINE;0;2017/05/14 17:00:00;2017/05/14 17:00:09; ;SUCCESS; ;9;415906/1;14-NOV-16; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 17:00:00;2017/05/14 17:00:02; ;SUCCESS; ;2;415908/1;19-AUG-15;08-MAR-17;
IOPFP01-Q0BOX-ALGE_EXP_JEXPBEN;0;2017/05/14 17:00:00;2017/05/14 17:01:06; ;SUCCESS; ;66;415907/1;06-OCT-16;13-OCT-16;
BOX_AMINE_JOB;0;2017/05/14 17:00:02;2017/05/14 17:00:08;s00va9944736;SUCCESS; ;6;415906/1;14-NOV-16;02-DEC-16;
BOX_AMINE_JOB_RECC;0;2017/05/14 17:00:02;2017/05/14 17:00:06;s00va9944736;SUCCESS; ;4;415906/1;14-NOV-16;02-DEC-16;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 17:00:02;2017/05/14 17:00:02;s00vl9957605;SUCCESS; ;0;415908/1;19-AUG-15; ;
IDCI00P01-Q1CHK01-MAILCALE-CNTBEN_0001;0;2017/05/14 17:00:02;2017/05/14 17:00:02;s00vl9941381;SUCCESS; ;0;415444/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1CHK01-MAILCALE-CNTCLI_0001;0;2017/05/14 17:00:02;2017/05/14 17:00:02;s00vl9941381;SUCCESS; ;0;415444/1;18-OCT-16;18-OCT-16;
IDCI00P01-Q1CHK01-MAILCALE-CNTREL_0001;0;2017/05/14 17:00:02;2017/05/14 17:00:02;s00vl9941381;SUCCESS; ;0;415444/1;18-OCT-16;18-OCT-16;
IOPFP01-Q1APP01-ALGE_EXP_JEXPBEN;0;2017/05/14 17:00:02;2017/05/14 17:01:06;s00va9944736;SUCCESS; ;64;415907/1;06-OCT-16;11-NOV-16;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 17:02:00;2017/05/14 17:02:02; ;SUCCESS; ;2;415909/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 17:02:02;2017/05/14 17:02:02;s00vl9957622;SUCCESS; ;0;415909/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 17:05:00;2017/05/14 17:05:02; ;SUCCESS; ;2;415910/1;19-AUG-15;08-MAR-17;
