jobs;mode;heure_debut;heure_fin;type_periodicite;cyclique;cycle;periodicite;mettre_application_en_erreur;ne_pas_deplanifier;attendre_avant_deplanification;heure_deplanification;bloquer_la_date;rattrapage_type;duree_max;retenu;demande;script;parametres;modjobs;liens_amon;liens_aval
ALIM_FACTU/ALIM_FACT/OU_4;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/regle_complexe[vaob:0],ALIM_FACTU/ALIM_FACT/Warning_4[obli];ALIM_FACTU/ALIM_FACT/remboursement[obli]

ALIM_FACTU/ALIM_FACT/Warning_18;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/remboursement[vaer:1-60];ALIM_FACTU/ALIM_FACT/OU_18[obli]

ALIM_FACTU/ALIM_FACT/OU_18;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/remboursement[vaob:0],ALIM_FACTU/ALIM_FACT/Warning_18[obli];ALIM_FACTU/ALIM_FACT/groupage_tarif[obli]

ALIM_FACTU/ALIM_FACT/Warning_6;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/promotion_supple[vaer:1-60];ALIM_FACTU/ALIM_FACT/OU_6[obli]

ALIM_FACTU/ALIM_FACT/OU_6;simu;14:00:00;16:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/Warning_6[obli],ALIM_FACTU/ALIM_FACT/promotion_supple[vaob:0];ALIM_FACTU/ALIM_FACT/declaratif[obli]

ALIM_FACTU/ALIM_FACT/OU_1000;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT/promotion_supple[vaer:61-255],ALIM_FACTU/ALIM_FACT/declaratif[vaer:61-255],ALIM_FACTU/ALIM_FACT/remboursement[vaer:61-255],ALIM_FACTU/ALIM_FACT/regle_complexe[vaer:61-255],ALIM_FACTU/ALIM_FACT/regle_simple[vaer:61-255],ALIM_FACTU/ALIM_FACT/prestation[vaer:61-255],ALIM_FACTU/ALIM_FACT/groupage_tarif[vaer:61-255],ALIM_FACTU/ALIM_FACT/collecte_neho[vaer:61-255];ALIM_FACTU/ALIM_FACT/HALT1000[obli]

