jobset,job,Date job available,Time job available,Date job start,Time job start,Date job end,Time job end,Code job Complete
jfu01Cald,dfsag0,12/05/2017,23:10:30,12/05/2017,23:24:31,12/05/2017,23:26:07,00000000
jfu01Cald,dfsag0,13/01/2017,23:47:20,14/01/2017,00:18:48,14/01/2017,00:22:10,00000000
jfu01Cald,dfsag0,13/02/2017,23:49:48,14/02/2017,00:23:05,14/02/2017,00:26:08,00000000
jfu01Cald,dfsag0,14/03/2017,00:01:05,14/03/2017,00:32:04,14/03/2017,00:35:02,00000000
jfu01Cald,dfsag0,14/03/2017,23:49:02,15/03/2017,00:19:23,15/03/2017,00:22:41,00000000
jfu01Cald,dfsag0,14/04/2017,00:03:17,14/04/2017,00:37:13,14/04/2017,00:40:50,00000000
jfu01Cald,dfsag0,14/04/2017,23:36:59,14/04/2017,23:56:45,14/04/2017,23:58:42,00000000
jfu01Cald,dfsag0,15/02/2017,01:12:46,15/02/2017,01:45:40,15/02/2017,01:49:08,00000000
jfu01Cald,dfsag0,15/02/2017,23:52:12,16/02/2017,00:25:08,16/02/2017,00:28:09,00000000
jfu01Cald,dfsag0,15/03/2017,23:49:27,16/03/2017,00:19:14,16/03/2017,00:22:32,00000000
jfu01Cald,dfsag0,15/05/2017,23:21:22,15/05/2017,23:38:59,15/05/2017,23:40:56,00000000
jfu01Cald,dfsag0,16/01/2017,23:51:38,17/01/2017,00:23:22,17/01/2017,00:25:57,00000000
jfu01Cald,dfsag0,16/02/2017,23:48:12,17/02/2017,00:20:21,17/02/2017,00:23:19,00000000
jfu01Cald,dfsag0,16/05/2017,23:26:17,16/05/2017,23:44:35,16/05/2017,23:46:24,00000000
jfu01Cald,dfsag0,17/03/2017,00:59:25,17/03/2017,01:29:12,17/03/2017,01:32:15,00000000
jfu01Cald,dfsag0,17/03/2017,23:46:24,18/03/2017,00:17:48,18/03/2017,00:21:01,00000000
jfu01Cald,dfsag0,17/05/2017,23:24:16,17/05/2017,23:41:08,17/05/2017,23:43:00,00000000
jfu01Cald,dfsag0,18/01/2017,00:23:00,18/01/2017,00:55:13,18/01/2017,00:58:13,00000000
jfu01Cald,dfsag0,18/01/2017,23:46:50,19/01/2017,00:17:13,19/01/2017,00:20:38,00000000
jfu01Cald,dfsag0,18/02/2017,04:53:04,18/02/2017,05:27:26,18/02/2017,05:30:29,00000000
jfu01Cald,dfsag0,18/05/2017,23:22:40,18/05/2017,23:40:35,18/05/2017,23:42:25,00000000
jfu01Cald,dfsag0,19/01/2017,23:44:30,20/01/2017,00:15:09,20/01/2017,00:17:51,00000000
jfu01Cald,dfsag0,19/04/2017,00:46:01,19/04/2017,01:04:49,19/04/2017,01:06:38,00000000
jfu01Cald,dfsag0,20/01/2017,23:45:42,21/01/2017,00:16:27,21/01/2017,00:19:28,00000000
jfu01Cald,dfsag0,20/02/2017,23:54:43,21/02/2017,00:27:11,21/02/2017,00:30:07,00000000
jfu01Cald,dfsag0,20/04/2017,01:49:18,20/04/2017,02:07:24,20/04/2017,02:09:13,00000000
jfu01Cald,dfsag0,20/04/2017,23:32:53,20/04/2017,23:50:11,20/04/2017,23:51:54,00000000
jfu01Cald,dfsag0,21/03/2017,00:02:48,21/03/2017,00:36:30,21/03/2017,00:39:39,00000000
jfu01Cald,dfsag0,21/03/2017,23:54:01,22/03/2017,00:22:41,22/03/2017,00:25:38,00000000
jfu01Cald,dfsag0,21/04/2017,23:27:29,21/04/2017,23:46:34,21/04/2017,23:48:19,00000000
jfu01Cald,dfsag0,22/02/2017,00:07:48,22/02/2017,00:36:23,22/02/2017,00:39:45,00000000
jfu01Cald,dfsag0,22/03/2017,23:56:29,23/03/2017,00:25:14,23/03/2017,00:28:09,00000000
jfu01Cald,dfsag0,23/01/2017,23:44:46,24/01/2017,00:14:13,24/01/2017,00:17:24,00000000
jfu01Cald,dfsag0,23/02/2017,02:43:19,23/02/2017,03:14:56,23/02/2017,03:17:53,00000000
jfu01Cald,dfsag0,23/02/2017,23:56:53,24/02/2017,00:27:19,24/02/2017,00:30:08,00000000
jfu01Cald,dfsag0,23/03/2017,23:54:29,24/03/2017,00:24:21,24/03/2017,00:27:17,00000000
jfu01Cald,dfsag0,24/02/2017,23:54:47,25/02/2017,00:26:27,25/02/2017,00:29:23,00000000
jfu01Cald,dfsag0,25/01/2017,00:12:14,25/01/2017,00:44:19,25/01/2017,00:47:17,00000000
jfu01Cald,dfsag0,25/01/2017,23:44:40,26/01/2017,00:15:12,26/01/2017,00:17:51,00000000
jfu01Cald,dfsag0,25/03/2017,00:02:48,25/03/2017,00:33:56,25/03/2017,00:37:00,00000000
jfu01Cald,dfsag0,25/04/2017,02:13:33,25/04/2017,02:32:09,25/04/2017,02:33:55,00000000
jfu01Cald,dfsag0,25/04/2017,23:30:51,25/04/2017,23:49:51,25/04/2017,23:51:32,00000000
jfu01Cald,dfsag0,27/01/2017,01:33:37,27/01/2017,02:05:26,27/01/2017,02:08:53,00000000
jfu01Cald,dfsag0,27/01/2017,23:51:13,28/01/2017,00:21:39,28/01/2017,00:24:36,00000000
jfu01Cald,dfsag0,27/03/2017,23:57:53,28/03/2017,00:27:02,28/03/2017,00:29:55,00000000
jfu01Cald,dfsag0,27/04/2017,01:24:51,27/04/2017,01:38:39,27/04/2017,01:40:00,00000000
jfu01Cald,dfsag0,28/02/2017,00:04:43,28/02/2017,00:34:30,28/02/2017,00:37:16,00000000
jfu01Cald,dfsag0,28/04/2017,00:34:11,28/04/2017,00:47:48,28/04/2017,00:49:08,00000000
jfu01Cald,dfsag0,29/03/2017,03:21:07,29/03/2017,03:52:52,29/03/2017,03:55:56,00000000
jfu01Cald,dfsag0,29/04/2017,01:35:34,29/04/2017,04:21:42,29/04/2017,04:22:48,00000000
jfu01Cald,dfsag0,30/01/2017,23:49:29,31/01/2017,00:20:24,31/01/2017,00:23:19,00000000
jfu01Cald,dfsag0,30/03/2017,00:08:04,30/03/2017,00:38:28,30/03/2017,00:42:01,00000000
jfu01Cald,dfsag0,31/03/2017,01:08:18,31/03/2017,01:41:19,31/03/2017,01:45:07,00000000
jfu02Cald,dfsaa0,01/02/2017,03:30:16,01/02/2017,07:14:15,01/02/2017,07:30:21,00000000
jfu02Cald,dfsaa0,01/03/2017,03:02:24,01/03/2017,06:14:17,01/03/2017,06:27:26,00000000
jfu02Cald,dfsaa0,01/04/2017,02:55:03,01/04/2017,06:26:04,01/04/2017,06:38:58,00000000
jfu02Cald,dfsaa0,02/02/2017,00:14:28,02/02/2017,00:58:21,02/02/2017,01:22:46,00000000
jfu02Cald,dfsaa0,02/02/2017,23:58:59,03/02/2017,00:28:09,03/02/2017,00:53:31,00000000
jfu02Cald,dfsaa0,02/03/2017,00:22:03,02/03/2017,01:05:16,02/03/2017,01:29:54,00000000
jfu02Cald,dfsaa0,03/03/2017,00:08:16,03/03/2017,00:38:27,03/03/2017,00:58:30,00000000
jfu02Cald,dfsaa0,03/05/2017,00:57:17,03/05/2017,01:16:47,03/05/2017,01:31:13,00000000
jfu02Cald,dfsaa0,03/05/2017,23:19:07,03/05/2017,23:33:18,03/05/2017,23:46:53,00000000
jfu02Cald,dfsaa0,04/02/2017,00:01:06,04/02/2017,00:31:53,04/02/2017,00:55:19,00000000
jfu02Cald,dfsaa0,04/03/2017,00:06:29,04/03/2017,00:35:58,04/03/2017,00:57:45,00000000
jfu02Cald,dfsaa0,04/04/2017,00:42:35,04/04/2017,01:29:30,04/04/2017,02:00:24,00000000
jfu02Cald,dfsaa0,04/05/2017,23:10:25,04/05/2017,23:26:01,04/05/2017,23:40:18,00000000
jfu02Cald,dfsaa0,05/04/2017,00:25:39,05/04/2017,01:00:49,05/04/2017,01:26:23,00000000
jfu02Cald,dfsaa0,05/05/2017,23:15:28,05/05/2017,23:29:49,05/05/2017,23:43:27,00000000
jfu02Cald,dfsaa0,06/04/2017,01:37:33,06/04/2017,02:14:41,06/04/2017,02:40:32,00000000
jfu02Cald,dfsaa0,07/02/2017,00:49:57,07/02/2017,01:07:57,07/02/2017,01:35:47,00000000
jfu02Cald,dfsaa0,07/03/2017,00:11:09,07/03/2017,00:43:14,07/03/2017,01:06:05,00000000
jfu02Cald,dfsaa0,07/04/2017,00:37:42,07/04/2017,01:12:40,07/04/2017,01:39:47,00000000
jfu02Cald,dfsaa0,08/02/2017,00:03:45,08/02/2017,00:34:50,08/02/2017,00:56:53,00000000
jfu02Cald,dfsaa0,08/03/2017,00:01:57,08/03/2017,00:32:33,08/03/2017,00:54:44,00000000
jfu02Cald,dfsaa0,08/03/2017,23:58:47,09/03/2017,00:28:36,09/03/2017,00:48:20,00000000
jfu02Cald,dfsaa0,08/04/2017,00:00:32,08/04/2017,00:37:12,08/04/2017,01:03:37,00000000
jfu02Cald,dfsaa0,09/02/2017,01:47:05,09/02/2017,02:21:01,09/02/2017,02:39:43,00000000
jfu02Cald,dfsaa0,09/02/2017,23:53:55,10/02/2017,00:24:55,10/02/2017,00:43:33,00000000
jfu02Cald,dfsaa0,09/03/2017,23:54:58,10/03/2017,00:24:47,10/03/2017,00:44:52,00000000
jfu02Cald,dfsaa0,10/05/2017,01:28:56,10/05/2017,01:38:18,10/05/2017,01:53:21,00000000
jfu02Cald,dfsaa0,11/01/2017,00:21:28,11/01/2017,00:40:31,11/01/2017,01:03:50,00000000
jfu02Cald,dfsaa0,11/02/2017,02:06:21,11/02/2017,02:41:24,11/02/2017,03:01:01,00000000
jfu02Cald,dfsaa0,11/03/2017,00:02:49,11/03/2017,00:34:34,11/03/2017,00:54:34,00000000
jfu02Cald,dfsaa0,11/04/2017,00:03:22,11/04/2017,00:38:32,11/04/2017,01:06:12,00000000
jfu02Cald,dfsaa0,11/05/2017,03:26:08,11/05/2017,03:40:17,11/05/2017,03:53:28,00000000
jfu02Cald,dfsaa0,11/05/2017,23:10:58,11/05/2017,23:24:44,11/05/2017,23:38:10,00000000
jfu02Cald,dfsaa0,12/01/2017,00:13:08,12/01/2017,00:44:11,12/01/2017,01:02:33,00000000
jfu02Cald,dfsaa0,12/01/2017,23:54:06,13/01/2017,00:25:40,13/01/2017,00:44:06,00000000
jfu02Cald,dfsaa0,12/04/2017,00:09:29,12/04/2017,00:42:05,12/04/2017,01:08:37,00000000
jfu02Cald,dfsaa0,12/04/2017,23:59:37,13/04/2017,00:33:30,13/04/2017,01:00:04,00000000
jfu02Cald,dfsaa0,12/05/2017,23:10:40,12/05/2017,23:24:49,12/05/2017,23:38:11,00000000
jfu02Cald,dfsaa0,13/01/2017,23:47:37,14/01/2017,00:19:45,14/01/2017,00:38:19,00000000
jfu02Cald,dfsaa0,13/02/2017,23:50:05,14/02/2017,00:23:14,14/02/2017,00:43:58,00000000
jfu02Cald,dfsaa0,14/03/2017,00:01:22,14/03/2017,00:32:39,14/03/2017,00:54:22,00000000
jfu02Cald,dfsaa0,14/03/2017,23:49:20,15/03/2017,00:19:56,15/03/2017,00:42:28,00000000
jfu02Cald,dfsaa0,14/04/2017,00:03:35,14/04/2017,00:37:35,14/04/2017,01:04:28,00000000
jfu02Cald,dfsaa0,14/04/2017,23:37:11,14/04/2017,23:57:02,15/04/2017,00:10:59,00000000
jfu02Cald,dfsaa0,15/02/2017,01:13:04,15/02/2017,01:45:52,15/02/2017,02:09:27,00000000
jfu02Cald,dfsaa0,15/02/2017,23:52:30,16/02/2017,00:25:35,16/02/2017,00:46:08,00000000
jfu02Cald,dfsaa0,15/03/2017,23:49:44,16/03/2017,00:19:29,16/03/2017,00:41:35,00000000
jfu02Cald,dfsaa0,15/05/2017,23:21:34,15/05/2017,23:39:17,15/05/2017,23:56:44,00000000
jfu02Cald,dfsaa0,16/01/2017,23:51:53,17/01/2017,00:23:50,17/01/2017,00:42:15,00000000
jfu02Cald,dfsaa0,16/02/2017,23:48:28,17/02/2017,00:20:38,17/02/2017,00:40:55,00000000
jfu02Cald,dfsaa0,16/05/2017,23:26:29,16/05/2017,23:44:51,17/05/2017,00:01:43,00000000
jfu02Cald,dfsaa0,17/03/2017,00:59:45,17/03/2017,01:29:28,17/03/2017,01:51:52,00000000
jfu02Cald,dfsaa0,17/03/2017,23:46:42,18/03/2017,00:17:56,18/03/2017,00:39:21,00000000
jfu02Cald,dfsaa0,17/05/2017,23:24:28,17/05/2017,23:41:28,17/05/2017,23:58:22,00000000
jfu02Cald,dfsaa0,18/01/2017,00:23:18,18/01/2017,00:55:31,18/01/2017,01:14:13,00000000
jfu02Cald,dfsaa0,18/01/2017,23:47:04,19/01/2017,00:18:17,19/01/2017,00:37:00,00000000
jfu02Cald,dfsaa0,18/02/2017,04:53:23,18/02/2017,05:27:40,18/02/2017,05:49:03,00000000
jfu02Cald,dfsaa0,18/05/2017,23:22:51,18/05/2017,23:40:54,18/05/2017,23:57:31,00000000
jfu02Cald,dfsaa0,19/01/2017,23:44:47,20/01/2017,00:15:41,20/01/2017,00:32:02,00000000
jfu02Cald,dfsaa0,19/04/2017,00:46:11,19/04/2017,01:05:11,19/04/2017,01:19:07,00000000
jfu02Cald,dfsaa0,20/01/2017,23:46:00,21/01/2017,00:17:07,21/01/2017,00:33:43,00000000
jfu02Cald,dfsaa0,20/02/2017,23:55:00,21/02/2017,00:27:21,21/02/2017,00:46:07,00000000
jfu02Cald,dfsaa0,20/04/2017,01:49:28,20/04/2017,02:07:58,20/04/2017,02:20:57,00000000
